Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,15,0.1,symmetric,-6.129671308235328,-5.864217087098478,0.27931779455256417,-4.917614664411417,-0.15405294608987127
100% Corpus,15,0.5,0.01,-6.507095006733919,-6.113380729804762,0.2958280841465925,-5.118770235011044,-0.1577558804510207
100% Corpus,15,0.5,0.1,-6.210673839882043,-6.172644117851835,0.2955782044028583,-5.151528051173073,-0.15937575163434123
100% Corpus,15,0.5,0.5,-6.15371142572071,-5.936545751455873,0.2860503231569926,-5.078112646284846,-0.15506504980518324
100% Corpus,15,0.5,1,-6.183420449841431,-5.673602993669188,0.27544933643693664,-4.875921979982146,-0.14697739846234492
100% Corpus,15,0.5,symmetric,-6.247556261059341,-6.1537523922320565,0.29645030304793235,-5.146799076192928,-0.15935564078555378
100% Corpus,15,1,0.01,-6.63243495039253,-6.0353952407526945,0.283034379947856,-4.973069826270938,-0.15035070848946058
100% Corpus,15,1,0.1,-6.307118576286213,-5.97579614828869,0.28238306887883075,-4.983857525709186,-0.14991516109377512
100% Corpus,15,1,0.5,-6.238160776422793,-6.020356847587215,0.29024921119699787,-5.0699210236839605,-0.15163181992236405
100% Corpus,15,1,1,-6.267203849512122,-5.86559822320441,0.3043257474735475,-4.904950546916707,-0.14269830516727172
100% Corpus,15,1,symmetric,-6.350125160706178,-6.1244176980976075,0.2840324879336372,-5.061571030595262,-0.15241391341271257
100% Corpus,15,symmetric,0.01,-6.349066501096793,-5.8737813435349855,0.2760775786561584,-4.9357792766814885,-0.15578996336189496
100% Corpus,15,symmetric,0.1,-6.084523493711959,-5.7328301869392515,0.2737688907760745,-4.9662483186904245,-0.15707108207491619
100% Corpus,15,symmetric,0.5,-6.025589350782819,-5.66290808765444,0.2770391171634975,-4.869646921338442,-0.1517677477258666
100% Corpus,15,symmetric,1,-6.054168203476547,-5.713972023595463,0.2755189865166961,-4.848070197438065,-0.15065585685224453
100% Corpus,15,symmetric,symmetric,-6.117967915878784,-5.869991698570495,0.28061020246267304,-4.953045479020283,-0.15629457511386843
100% Corpus,15,asymmetric,0.01,-6.348719717710024,-5.922097737620194,0.28237871467677617,-4.97130762644303,-0.15674331974318925
100% Corpus,15,asymmetric,0.1,-6.0853033857565695,-5.864439677287308,0.2840144039766825,-4.995487564603197,-0.15816669278067938
100% Corpus,15,asymmetric,0.5,-6.030711392114548,-5.674670595668025,0.2703466408378137,-4.812286092966845,-0.1494427893407729
100% Corpus,15,asymmetric,1,-6.058602930013997,-5.413936247234437,0.27283806416199075,-4.668668089683454,-0.145421925996002
100% Corpus,15,asymmetric,symmetric,-6.1179417576598505,-5.946144369439202,0.28338046877391915,-5.034305763283939,-0.1594234664567587
100% Corpus,20,0.01,0.01,-6.340799749811923,-6.100370213777566,0.30782402890398114,-5.421854503006846,-0.16821912565489416
100% Corpus,20,0.01,0.1,-6.032700050454871,-6.213576386252973,0.3147375764556592,-5.361442189909305,-0.1666513273856287
100% Corpus,20,0.01,0.5,-5.978761319555835,-6.216234989404422,0.3186198867033574,-5.487558238666828,-0.17427465768746403
100% Corpus,20,0.01,1,-6.022606164407335,-6.240041991430959,0.3233928831300707,-5.352178856781899,-0.16847800828685153
100% Corpus,20,0.01,symmetric,-6.100416895497622,-6.223500832534499,0.3112112583116862,-5.46841726462992,-0.17026342360942257
100% Corpus,20,0.1,0.01,-6.372894021840362,-6.172543275614525,0.31468493652035034,-5.378178089818401,-0.167911343754716
100% Corpus,20,0.1,0.1,-6.066682234929792,-6.126580990833841,0.3162437754914681,-5.35006784469674,-0.16607522044408213
100% Corpus,20,0.1,0.5,-6.021346422109307,-6.282062969881021,0.32042673722422443,-5.458582452277186,-0.17109540782511773
100% Corpus,20,0.1,1,-6.066242703380878,-6.2257103002650656,0.3173929003591915,-5.454770966262408,-0.17210136170756124
100% Corpus,20,0.1,symmetric,-6.133235328706098,-6.231440332958522,0.31996571579871425,-5.475362904821578,-0.17172539581666219
100% Corpus,20,0.5,0.01,-6.579825825815382,-6.718268094149583,0.32928633698013926,-5.828691627896782,-0.182323548533546
100% Corpus,20,0.5,0.1,-6.21248737628744,-6.608496910336251,0.3258136094005809,-5.703014998198293,-0.17722796162847107
100% Corpus,20,0.5,0.5,-6.162338391030958,-6.308428166318754,0.3180277978148979,-5.437853945606286,-0.16533454672060183
100% Corpus,20,0.5,1,-6.205312856355492,-6.018106302492617,0.3032409079674049,-5.169013601765089,-0.15546124032111697
100% Corpus,20,0.5,symmetric,-6.292664761261865,-6.757207966496753,0.3273996259978027,-5.838954847167057,-0.18213124670631828
100% Corpus,20,1,0.01,-6.756963695027496,-6.6709007360081145,0.3244400457863651,-5.711690736442657,-0.17338321618181274
100% Corpus,20,1,0.1,-6.341938639369225,-6.492227607389209,0.3181208548576532,-5.56770187430643,-0.16642018630951455
100% Corpus,20,1,0.5,-6.2672904290133875,-5.915915610541507,0.32172286382432225,-5.023938491180077,-0.14534188291820188
100% Corpus,20,1,1,-6.313868188082845,-5.647620619564281,0.3149839206714198,-4.8234236650035625,-0.13750549682673568
100% Corpus,20,1,symmetric,-6.438269357317001,-6.54901344754865,0.31857023717841143,-5.611105046097972,-0.16846493890543093
100% Corpus,20,symmetric,0.01,-6.345827877445932,-6.034967305288441,0.3103196638897914,-5.3296834700609885,-0.16589169397322903
100% Corpus,20,symmetric,0.1,-6.038934111009846,-6.190832642435253,0.3132643710205394,-5.424241614551689,-0.16862603276212512
100% Corpus,20,symmetric,0.5,-5.991143134563325,-6.23677202112616,0.3172175786460138,-5.4195796118011295,-0.17036141866760204
100% Corpus,20,symmetric,1,-6.037785844974117,-6.303291072326264,0.3231359390146928,-5.438290589593519,-0.1716702143190902
100% Corpus,20,symmetric,symmetric,-6.1063675304645635,-6.076529260600428,0.3088182266039551,-5.3914885613738734,-0.16852647955201136
100% Corpus,20,asymmetric,0.01,-6.34369545311328,-6.108773490595673,0.3040491954470975,-5.337064863857563,-0.16690021858653148
100% Corpus,20,asymmetric,0.1,-6.037931535524751,-6.294726666100611,0.31062960763793573,-5.482384173430267,-0.17108647153815065
100% Corpus,20,asymmetric,0.5,-5.992328389104997,-5.957369659005829,0.297519253959793,-5.280245773093332,-0.16488333529132274
100% Corpus,20,asymmetric,1,-6.0342536459617655,-6.219019406920867,0.3085081974454239,-5.384344192581867,-0.16943177727191144
100% Corpus,20,asymmetric,symmetric,-6.105290730684583,-6.1811702708813385,0.3077269262785688,-5.449214757591897,-0.17066622076434665
100% Corpus,25,0.01,0.01,-6.32333340891311,-5.887273932477984,0.30281216173500913,-5.126004742933153,-0.15847975403534892
100% Corpus,25,0.01,0.1,-5.983444464414088,-5.964987881918945,0.3133394768552733,-5.159691631715147,-0.16117315465850418
100% Corpus,25,0.01,0.5,-5.9397636490807235,-6.060019010007226,0.301175908211588,-5.342389200216954,-0.16793009875306683
100% Corpus,25,0.01,1,-5.98186818786852,-6.019243717078996,0.30310743206744406,-5.215092397956994,-0.16052352851870968
100% Corpus,25,0.01,symmetric,-6.084406547062978,-5.875863179209764,0.3035945579867989,-5.1172377763722565,-0.15955618548630734
100% Corpus,25,0.1,0.01,-6.369684372073231,-6.023346754017901,0.3056694277611776,-5.184709843376953,-0.15955807828954424
100% Corpus,25,0.1,0.1,-6.030107754850981,-5.829692350645856,0.30594862885130536,-5.076362310319716,-0.15626587900414207
100% Corpus,25,0.1,0.5,-6.004372382619343,-5.991307001948918,0.3058651883787877,-5.307282353356173,-0.16570731035085184
100% Corpus,25,0.1,1,-6.05234534980286,-6.044813993119941,0.2949074280248887,-5.253553939488423,-0.16282075367264448
100% Corpus,25,0.1,symmetric,-6.128133705754959,-6.013685466827501,0.30762541383079867,-5.198746930751579,-0.15994033213291436
100% Corpus,25,0.5,0.01,-6.647625190682803,-6.436701700079169,0.31848403173474343,-5.643291538336384,-0.17446737734867696
100% Corpus,25,0.5,0.1,-6.221138765201172,-6.313853218534574,0.3153864221258389,-5.570827004289418,-0.1721291187644147
100% Corpus,25,0.5,0.5,-6.184401080149892,-6.108819582597631,0.30366813926899,-5.341552730815157,-0.16340416425016155
100% Corpus,25,0.5,1,-6.24303111375406,-6.076499416221122,0.31030697742802504,-5.38136547765427,-0.16330032732544075
100% Corpus,25,0.5,symmetric,-6.345261731360136,-6.392757152086967,0.31411638579114604,-5.62794823063224,-0.17400094477939784
100% Corpus,25,1,0.01,-6.888307820110857,-6.438349233838352,0.3349693046492627,-5.590504960874304,-0.16461214316135905
100% Corpus,25,1,0.1,-6.391266447817709,-6.543840675331058,0.33620028375342675,-5.546596575079175,-0.16401811675143618
